Tarih;ALTIN_YTL
2021-01;449,12
2021-02;413,65
2021-03;423,38
2021-04;464,33
2021-05;501,26
2021-06;512,01
2021-07;500,55
2021-08;489,92
2021-09;470,59
2021-10;521,44
2021-11;634,13
2021-12;817,61
2022-01;795,39
2022-02;824,04
2022-03;926,51
2022-04;921,01
2022-05;944,07
2022-06;1.018,48
2022-07;998,91
2022-08;1.040,39
2022-09;1.010,29
2022-10;1.010,47
2022-11;1.047,70
2022-12;1.091,54
2023-01;1.173,95
2023-02;1.153,58
2023-03;1.201,91
2023-04;1.348,78
2023-05;1.433,73
2023-06;1.495,28
2023-07;1.689,14
2023-08;1.716,91
2023-09;1.710,53
2023-10;1.795,05
2023-11;1.868,94
2023-12;1.984,48
2024-01;2.069,67
2024-02;2.085,58
2024-03;2.394,82
2024-04;2.539,01
2024-05;2.465,24
2024-06;2.477,29
2024-07;2.562,67
2024-08;2.731,34
2024-09;2.907,12
2024-10;3.090,72
2024-11;3.076,73
2024-12;3.041,08
2025-01;3.124,41
2025-02;3.458,78
2025-03;3.648,33
2025-04;4.052,18
2025-05;4.192,48
2025-06;4.314,26
2025-07;4.338,79
2025-08;4.441,09
2025-09;4.978,61
2025-10;5.744,17
2025-11;5.764,62
2025-12;6.030,79
2026-01;6.817,67
2026-02;7.515,92
;
;
;
;
;
;