Tarih;POLFAIZ_TUR
2020-01;11,25
2020-02;10,75
2020-03;9,75
2020-04;8,75
2020-05;8,25
2020-06;8,25
2020-07;8,25
2020-08;8,25
2020-09;10,25
2020-10;10,25
2020-11;15,00
2020-12;17,00
2021-01;17,00
2021-02;17,00
2021-03;19,00
2021-04;19,00
2021-05;19,00
2021-06;19,00
2021-07;19,00
2021-08;19,00
2021-09;18,00
2021-10;16,00
2021-11;15,00
2021-12;14,00
2022-01;14,00
2022-02;14,00
2022-03;14,00
2022-04;14,00
2022-05;14,00
2022-06;14,00
2022-07;14,00
2022-08;13,00
2022-09;12,00
2022-10;10,50
2022-11;9,00
2022-12;9,00
2023-01;9,00
2023-02;8,50
2023-03;8,50
2023-04;8,50
2023-05;8,50
2023-06;15,00
2023-07;17,50
2023-08;25,00
2023-09;30,00
2023-10;35,00
2023-11;40,00
2023-12;42,50
2024-01;45,00
2024-02;45,00
2024-03;50,00
2024-04;50,00
2024-05;50,00
2024-06;50,00
2024-07;50,00
2024-08;50,00
2024-09;50,00
2024-10;50,00
2024-11;50,00
2024-12;47,50
2025-01;45,00
2025-02;45,00
2025-03;42,50
2025-04;46,00
2025-05;46,00
2025-06;46,00
2025-07;43,00
2025-08;43,00
2025-09;40,50
2025-10;39,50
2025-11;39,50
2025-12;38,00
2026-01;37,00
2026-02;37,00
;
;
;
;
;
;