"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"01.03.2026","36,150","31,440","36,100","31,400","16,69%"
"01.02.2026","30,980","30,070","31,010","30,070","2,48%"
"01.01.2026","30,230","30,690","31,290","29,710","-2,20%"
"01.12.2025","30,910","32,430","32,430","30,840","-4,80%"
"01.11.2025","32,470","33,340","33,930","32,390","-2,81%"
"01.10.2025","33,410","33,210","34,190","33,210","0,33%"
"01.09.2025","33,300","33,040","34,970","33,040","0,91%"
"01.08.2025","33,000","33,080","33,320","32,970","-0,84%"
"01.07.2025","33,280","32,450","34,010","32,380","1,40%"
"01.06.2025","32,820","35,340","35,720","32,790","-6,89%"
"01.05.2025","35,250","35,790","36,450","34,770","-3,53%"
"01.04.2025","36,540","35,150","37,630","34,860","2,35%"
"01.03.2025","35,700","29,080","36,030","29,080","22,22%"
"01.02.2025","29,210","29,080","30,170","29,060","3,25%"
"01.01.2025","28,290","30,190","30,190","28,000","-7,88%"
"01.12.2024","30,710","31,120","32,250","30,660","-0,74%"
"01.11.2024","30,940","32,530","51,340","30,890","-4,83%"
"01.10.2024","32,510","29,860","32,670","29,860","8,95%"
"01.09.2024","29,840","30,120","31,550","29,760","-1,13%"
"01.08.2024","30,180","31,450","32,685","30,140","3,11%"
"01.07.2024","29,270","29,560","29,560","28,240","-0,85%"
"01.06.2024","29,520","29,780","31,090","29,370","-0,47%"
"01.05.2024","29,660","31,480","31,690","29,420","-4,72%"
"01.04.2024","31,130","29,260","32,310","28,770","6,39%"
"01.03.2024","29,260","28,660","30,560","28,660","2,09%"
"01.02.2024","28,660","26,200","28,770","25,540","9,39%"
"01.01.2024","26,200","25,100","27,240","25,080","6,63%"
"01.12.2023","24,570","24,560","29,630","23,870","-3,68%"
"01.11.2023","25,510","29,740","32,170","17,270","-14,28%"
"01.10.2023","29,760","26,680","30,140","26,640","11,04%"
"01.09.2023","26,800","19,000","27,010","19,000","43,39%"
"01.08.2023","18,690","19,070","20,440","17,600","-3,01%"
"01.07.2023","19,270","15,260","19,270","15,260","18,22%"
"01.06.2023","16,300","10,710","19,060","10,710","42,11%"
"01.05.2023","11,470","16,510","19,000","9,630","-30,99%"
"01.04.2023","16,620","10,840","17,420","10,730","52,48%"
"01.03.2023","10,900","8,970","11,620","8,660","21,38%"
"01.02.2023","8,980","111,360","111,360","8,920","-11,87%"
"01.01.2023","10,190","8,700","10,550","1,280","18,90%"
"01.12.2022","8,570","9,860","10,310","8,200","-13,08%"
"01.11.2022","9,860","9,620","10,640","9,490","2,49%"
"01.10.2022","9,620","9,890","10,540","8,930","-2,73%"
"01.09.2022","9,890","13,240","20,430","9,770","-31,93%"
"01.08.2022","14,530","17,540","17,540","13,500","-17,35%"
"01.07.2022","17,580","18,600","19,220","16,990","-6,29%"
"01.06.2022","18,760","23,360","25,560","18,450","-19,69%"
"01.05.2022","23,360","21,990","26,410","21,830","7,01%"
"01.04.2022","21,830","24,840","26,870","21,560","-12,12%"
"01.03.2022","24,840","24,200","27,420","24,050","1,80%"
"01.02.2022","24,400","22,770","24,870","21,960","6,27%"
"01.01.2022","22,960","26,960","27,930","22,430","-4,57%"
"01.12.2021","24,060","21,230","24,660","21,130","14,14%"
"01.11.2021","21,080","18,860","21,150","18,420","11,06%"
"01.10.2021","18,980","17,970","19,490","17,950","5,62%"
"01.09.2021","17,970","16,980","18,080","16,770","5,64%"
"01.08.2021","17,010","16,960","17,730","16,780","-0,06%"
"01.07.2021","17,020","17,570","17,760","17,020","-3,13%"
"01.06.2021","17,570","18,200","18,540","17,480","-3,57%"
"01.05.2021","18,220","17,890","18,350","17,470","1,96%"
"01.04.2021","17,870","17,430","18,150","17,220","-1,05%"
"01.03.2021","18,060","13,410","19,840","13,330","33,98%"
"01.02.2021","13,480","12,940","13,640","12,850","4,25%"
"01.01.2021","12,930","13,020","13,350","12,850","1,25%"