Tarih;TÜFE_Yıllık_Değişim;TÜFE_Aylık_Değişim
2021-01;14,97;1,68
2021-02;15,61;0,91
2021-03;16,19;1,08
2021-04;17,14;1,68
2021-05;16,59;0,89
2021-06;17,53;1,94
2021-07;18,95;1,80
2021-08;19,25;1,12
2021-09;19,58;1,25
2021-10;19,89;2,39
2021-11;21,31;3,51
2021-12;36,08;13,58
2022-01;48,69;11,10
2022-02;54,44;4,81
2022-03;61,14;5,46
2022-04;69,97;7,25
2022-05;73,50;2,98
2022-06;78,62;4,95
2022-07;79,60;2,37
2022-08;80,21;1,46
2022-09;83,45;3,08
2022-10;85,51;3,54
2022-11;84,39;2,88
2022-12;64,27;1,18
2023-01;57,68;6,65
2023-02;55,18;3,15
2023-03;50,51;2,29
2023-04;43,68;2,39
2023-05;39,59;0,04
2023-06;38,21;3,92
2023-07;47,83;9,49
2023-08;58,94;9,09
2023-09;61,53;4,75
2023-10;61,36;3,43
2023-11;61,98;3,28
2023-12;64,77;2,93
2024-01;64,86;6,70
2024-02;67,07;4,53
2024-03;68,50;3,16
2024-04;69,80;3,18
2024-05;75,45;3,37
2024-06;71,60;1,64
2024-07;61,78;3,23
2024-08;51,97;2,47
2024-09;49,38;2,97
2024-10;48,58;2,88
2024-11;47,09;2,24
2024-12;44,38;1,03
2025-01;42,12;5,03
2025-02;39,05;2,27
2025-03;38,10;2,46
2025-04;37,86;3,00
2025-05;35,41;1,53
2025-06;35,05;1,37
2025-07;33,52;2,06
2025-08;32,95;2,04
2025-09;33,29;3,23
2025-10;32,87;2,55
2025-11;31,07;0,87
2025-12;30,89;0,89
2026-01;30,65;4,84
2026-02;31,53;2,96